[2025-08-13 21:00:30] OPENED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:00:30] CLOSED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:00:30] OPENED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:00:30] CLOSED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:03:06] OPENED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:03:06] CLOSED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:03:06] OPENED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:03:06] CLOSED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:04:25] OPENED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:04:25] CLOSED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:04:25] OPENED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:04:25] CLOSED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:04:36] OPENED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:04:36] CLOSED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:04:36] OPENED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:04:36] CLOSED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:04:50] OPENED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:04:50] CLOSED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:04:50] OPENED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:04:50] CLOSED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:05:14] OPENED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:05:14] CLOSED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:05:14] OPENED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:05:14] CLOSED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:05:51] OPENED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:05:51] CLOSED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:05:51] OPENED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:05:51] CLOSED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:06:56] OPENED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:06:56] CLOSED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:06:56] OPENED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:06:56] CLOSED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:07:01] OPENED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:07:01] CLOSED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:07:01] OPENED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:07:01] CLOSED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:07:24] OPENED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:07:24] CLOSED | File: test.txt | Mode: w | Total opened: 1
[2025-08-13 21:07:24] OPENED | File: test.txt | Mode: r | Total opened: 2
[2025-08-13 21:07:24] CLOSED | File: test.txt | Mode: r | Total opened: 2
